Product Name,Category,Units Sold,Opening Stock,Closing Stock,Purchase Price,Sale Price,Date
School Shorts,Kids Wear,0,0,0,180,299,2025-01-30
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-30
Running Shoes,Footwear,2,6,4,1200,1599,2025-01-30
Casual Sandals,Footwear,0,0,0,500,699,2025-01-30
Leather Belt,Accessories,0,53,53,250,289,2025-01-30
Fashion Scarf,Accessories,0,35,35,180,299,2025-01-30
Baseball Cap,Accessories,0,0,0,160,229,2025-01-30
Silver Anklet,Accessories,0,36,36,350,549,2025-01-30
Floral Kurti,Women's Wear,13,121,108,350,599,2025-01-31
Leggings Pack,Women's Wear,11,86,75,220,349,2025-01-31
Cotton Saree,Women's Wear,0,0,0,700,999,2025-01-31
Casual Shirt,Men's Wear,8,44,36,500,799,2025-01-31
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-31
Graphic T-Shirt,Men's Wear,7,108,101,300,499,2025-01-31
Kids Frock,Kids Wear,3,9,6,280,449,2025-01-31
School Shorts,Kids Wear,0,0,0,180,299,2025-01-31
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-31
Running Shoes,Footwear,3,4,1,1200,1599,2025-01-31
Casual Sandals,Footwear,0,0,0,500,699,2025-01-31
Leather Belt,Accessories,0,53,53,250,289,2025-01-31
Fashion Scarf,Accessories,0,35,35,180,299,2025-01-31
Baseball Cap,Accessories,0,0,0,160,229,2025-01-31
Silver Anklet,Accessories,0,36,36,350,549,2025-01-31
Floral Kurti,Women's Wear,11,108,97,350,599,2025-02-01
Leggings Pack,Women's Wear,16,75,59,220,349,2025-02-01
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-01
Casual Shirt,Men's Wear,8,36,114,500,799,2025-02-01
Formal Trousers,Men's Wear,2,61,59,900,1049,2025-02-01
Graphic T-Shirt,Men's Wear,9,101,92,300,499,2025-02-01
Kids Frock,Kids Wear,2,6,4,280,449,2025-02-01
School Shorts,Kids Wear,0,0,0,180,299,2025-02-01
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-01
Running Shoes,Footwear,1,1,0,1200,1599,2025-02-01
Casual Sandals,Footwear,0,0,0,500,699,2025-02-01
Leather Belt,Accessories,2,53,51,250,289,2025-02-01
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-01
Baseball Cap,Accessories,0,0,0,160,229,2025-02-01
Silver Anklet,Accessories,0,36,36,350,549,2025-02-01
Floral Kurti,Women's Wear,13,97,84,350,599,2025-02-02
Leggings Pack,Women's Wear,15,59,44,220,349,2025-02-02
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-02
Casual Shirt,Men's Wear,7,114,107,500,799,2025-02-02
Formal Trousers,Men's Wear,0,59,59,900,1049,2025-02-02
Graphic T-Shirt,Men's Wear,5,92,87,300,499,2025-02-02
Kids Frock,Kids Wear,4,4,0,280,449,2025-02-02
School Shorts,Kids Wear,0,0,0,180,299,2025-02-02
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-02
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-02
Casual Sandals,Footwear,0,0,0,500,699,2025-02-02
Leather Belt,Accessories,0,51,51,250,289,2025-02-02
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-02
Baseball Cap,Accessories,0,0,0,160,229,2025-02-02
Silver Anklet,Accessories,2,36,34,350,549,2025-02-02
Floral Kurti,Women's Wear,13,84,71,350,599,2025-02-03
Leggings Pack,Women's Wear,9,44,35,220,349,2025-02-03
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-03
Casual Shirt,Men's Wear,4,107,103,500,799,2025-02-03
Formal Trousers,Men's Wear,0,59,59,900,1049,2025-02-03
Graphic T-Shirt,Men's Wear,5,87,82,300,499,2025-02-03
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-03
School Shorts,Kids Wear,0,0,0,180,299,2025-02-03
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-03
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-03
Casual Sandals,Footwear,0,0,0,500,699,2025-02-03
Leather Belt,Accessories,0,51,51,250,289,2025-02-03
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-03
Baseball Cap,Accessories,0,0,0,160,229,2025-02-03
Silver Anklet,Accessories,0,34,34,350,549,2025-02-03
Floral Kurti,Women's Wear,15,71,56,350,599,2025-02-04
Leggings Pack,Women's Wear,10,35,151,220,349,2025-02-04
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-04
Casual Shirt,Men's Wear,4,103,99,500,799,2025-02-04
Formal Trousers,Men's Wear,1,59,58,900,1049,2025-02-04
Graphic T-Shirt,Men's Wear,8,82,74,300,499,2025-02-04
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-04
School Shorts,Kids Wear,0,0,0,180,299,2025-02-04
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-04
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-04
Casual Sandals,Footwear,0,0,0,500,699,2025-02-04
Leather Belt,Accessories,0,51,51,250,289,2025-02-04
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-04
Baseball Cap,Accessories,0,0,0,160,229,2025-02-04
Silver Anklet,Accessories,2,34,32,350,549,2025-02-04
Floral Kurti,Women's Wear,9,56,47,350,599,2025-02-05
Leggings Pack,Women's Wear,10,151,141,220,349,2025-02-05
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-05
Casual Shirt,Men's Wear,5,99,94,500,799,2025-02-05
Formal Trousers,Men's Wear,0,58,58,900,1049,2025-02-05
Graphic T-Shirt,Men's Wear,7,74,67,300,499,2025-02-05
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-05
School Shorts,Kids Wear,0,0,0,180,299,2025-02-05
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-05
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-05
Casual Sandals,Footwear,0,0,0,500,699,2025-02-05
Leather Belt,Accessories,1,51,50,250,289,2025-02-05
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-05
Baseball Cap,Accessories,0,0,0,160,229,2025-02-05
Silver Anklet,Accessories,0,32,32,350,549,2025-02-05
Floral Kurti,Women's Wear,9,47,38,350,599,2025-02-06
Leggings Pack,Women's Wear,12,141,129,220,349,2025-02-06
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-06
Casual Shirt,Men's Wear,6,94,88,500,799,2025-02-06
Formal Trousers,Men's Wear,0,58,58,900,1049,2025-02-06
Graphic T-Shirt,Men's Wear,3,67,64,300,499,2025-02-06
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-06
School Shorts,Kids Wear,0,0,0,180,299,2025-02-06
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-06
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-06
Casual Sandals,Footwear,0,0,0,500,699,2025-02-06
Leather Belt,Accessories,0,50,50,250,289,2025-02-06
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-06
Baseball Cap,Accessories,0,0,0,160,229,2025-02-06
Silver Anklet,Accessories,2,32,30,350,549,2025-02-06
Floral Kurti,Women's Wear,16,38,146,350,599,2025-02-07
Leggings Pack,Women's Wear,12,129,117,220,349,2025-02-07
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-07
Casual Shirt,Men's Wear,4,88,84,500,799,2025-02-07
Formal Trousers,Men's Wear,2,58,56,900,1049,2025-02-07
Graphic T-Shirt,Men's Wear,5,64,59,300,499,2025-02-07
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-07
School Shorts,Kids Wear,0,0,0,180,299,2025-02-07
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-07
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-07
Casual Sandals,Footwear,0,0,0,500,699,2025-02-07
Leather Belt,Accessories,1,50,49,250,289,2025-02-07
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-07
Baseball Cap,Accessories,0,0,0,160,229,2025-02-07
Silver Anklet,Accessories,0,30,30,350,549,2025-02-07
Floral Kurti,Women's Wear,12,146,134,350,599,2025-02-08
Leggings Pack,Women's Wear,16,117,101,220,349,2025-02-08
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-08
Casual Shirt,Men's Wear,5,84,79,500,799,2025-02-08
Formal Trousers,Men's Wear,0,56,56,900,1049,2025-02-08
Graphic T-Shirt,Men's Wear,8,59,51,300,499,2025-02-08
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-08
School Shorts,Kids Wear,0,0,0,180,299,2025-02-08
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-08
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-08
Casual Sandals,Footwear,0,0,0,500,699,2025-02-08
Leather Belt,Accessories,1,49,48,250,289,2025-02-08
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-08
Baseball Cap,Accessories,0,0,0,160,229,2025-02-08
Silver Anklet,Accessories,0,30,30,350,549,2025-02-08
Floral Kurti,Women's Wear,10,134,124,350,599,2025-02-09
Leggings Pack,Women's Wear,12,101,89,220,349,2025-02-09
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-09
Casual Shirt,Men's Wear,8,79,71,500,799,2025-02-09
Formal Trousers,Men's Wear,1,56,55,900,1049,2025-02-09
Graphic T-Shirt,Men's Wear,6,51,45,300,499,2025-02-09
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-09
School Shorts,Kids Wear,0,0,0,180,299,2025-02-09
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-09
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-09
Casual Sandals,Footwear,0,0,0,500,699,2025-02-09
Leather Belt,Accessories,0,48,48,250,289,2025-02-09
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-09
Baseball Cap,Accessories,0,0,0,160,229,2025-02-09
Silver Anklet,Accessories,0,30,30,350,549,2025-02-09
Floral Kurti,Women's Wear,14,124,110,350,599,2025-02-10
Leggings Pack,Women's Wear,13,89,76,220,349,2025-02-10
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-10
Casual Shirt,Men's Wear,3,71,68,500,799,2025-02-10
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-10
Graphic T-Shirt,Men's Wear,7,45,38,300,499,2025-02-10
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-10
School Shorts,Kids Wear,0,0,0,180,299,2025-02-10
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-10
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-10
Casual Sandals,Footwear,0,0,0,500,699,2025-02-10
Leather Belt,Accessories,0,48,48,250,289,2025-02-10
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-10
Baseball Cap,Accessories,0,0,0,160,229,2025-02-10
Silver Anklet,Accessories,2,30,28,350,549,2025-02-10
Floral Kurti,Women's Wear,8,110,102,350,599,2025-02-11
Leggings Pack,Women's Wear,15,76,61,220,349,2025-02-11
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-11
Casual Shirt,Men's Wear,4,68,64,500,799,2025-02-11
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-11
Graphic T-Shirt,Men's Wear,5,38,124,300,499,2025-02-11
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-11
School Shorts,Kids Wear,0,0,0,180,299,2025-02-11
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-11
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-11
Casual Sandals,Footwear,0,0,0,500,699,2025-02-11
Leather Belt,Accessories,0,48,48,250,289,2025-02-11
Fashion Scarf,Accessories,0,35,35,180,299,2025-02-11
Baseball Cap,Accessories,0,0,0,160,229,2025-02-11
Silver Anklet,Accessories,0,28,28,350,549,2025-02-11
Floral Kurti,Women's Wear,14,102,88,350,599,2025-02-12
Leggings Pack,Women's Wear,15,61,46,220,349,2025-02-12
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-12
Casual Shirt,Men's Wear,7,64,57,500,799,2025-02-12
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-12
Graphic T-Shirt,Men's Wear,4,124,120,300,499,2025-02-12
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-12
School Shorts,Kids Wear,0,0,0,180,299,2025-02-12
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-12
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-12
Casual Sandals,Footwear,0,0,0,500,699,2025-02-12
Leather Belt,Accessories,0,48,48,250,289,2025-02-12
Fashion Scarf,Accessories,1,35,34,180,299,2025-02-12
Baseball Cap,Accessories,0,0,0,160,229,2025-02-12
Silver Anklet,Accessories,0,28,28,350,549,2025-02-12
Floral Kurti,Women's Wear,14,88,74,350,599,2025-02-13
Leggings Pack,Women's Wear,15,46,117,220,349,2025-02-13
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-13
Casual Shirt,Men's Wear,3,57,54,500,799,2025-02-13
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-13
Graphic T-Shirt,Men's Wear,4,120,116,300,499,2025-02-13
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-13
School Shorts,Kids Wear,0,0,0,180,299,2025-02-13
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-13
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-13
Casual Sandals,Footwear,0,0,0,500,699,2025-02-13
Leather Belt,Accessories,0,48,48,250,289,2025-02-13
Fashion Scarf,Accessories,0,34,34,180,299,2025-02-13
Baseball Cap,Accessories,0,0,0,160,229,2025-02-13
Silver Anklet,Accessories,0,28,28,350,549,2025-02-13
Floral Kurti,Women's Wear,18,74,56,350,599,2025-02-14
Leggings Pack,Women's Wear,19,117,98,220,349,2025-02-14
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-14
Casual Shirt,Men's Wear,6,54,48,500,799,2025-02-14
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-14
Graphic T-Shirt,Men's Wear,6,116,110,300,499,2025-02-14
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-14
School Shorts,Kids Wear,0,0,0,180,299,2025-02-14
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-14
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-14
Casual Sandals,Footwear,0,0,0,500,699,2025-02-14
Leather Belt,Accessories,0,48,48,250,289,2025-02-14
Fashion Scarf,Accessories,0,34,34,180,299,2025-02-14
Baseball Cap,Accessories,0,0,0,160,229,2025-02-14
Silver Anklet,Accessories,2,28,26,350,549,2025-02-14
Floral Kurti,Women's Wear,12,56,44,350,599,2025-02-15
Leggings Pack,Women's Wear,12,98,86,220,349,2025-02-15
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-15
Casual Shirt,Men's Wear,9,48,39,500,799,2025-02-15
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-15
Graphic T-Shirt,Men's Wear,9,110,101,300,499,2025-02-15
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-15
School Shorts,Kids Wear,0,0,0,180,299,2025-02-15
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-15
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-15
Casual Sandals,Footwear,0,0,0,500,699,2025-02-15
Leather Belt,Accessories,0,48,48,250,289,2025-02-15
Fashion Scarf,Accessories,1,34,33,180,299,2025-02-15
Baseball Cap,Accessories,0,0,0,160,229,2025-02-15
Silver Anklet,Accessories,1,26,25,350,549,2025-02-15
Floral Kurti,Women's Wear,9,44,35,350,599,2025-02-16
Leggings Pack,Women's Wear,9,86,77,220,349,2025-02-16
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-16
Casual Shirt,Men's Wear,5,39,165,500,799,2025-02-16
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-16
Graphic T-Shirt,Men's Wear,8,101,93,300,499,2025-02-16
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-16
School Shorts,Kids Wear,0,0,0,180,299,2025-02-16
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-16
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-16
Casual Sandals,Footwear,0,0,0,500,699,2025-02-16
Leather Belt,Accessories,0,48,48,250,289,2025-02-16
Fashion Scarf,Accessories,0,33,33,180,299,2025-02-16
Baseball Cap,Accessories,0,0,0,160,229,2025-02-16
Silver Anklet,Accessories,1,25,24,350,549,2025-02-16
Floral Kurti,Women's Wear,10,35,123,350,599,2025-02-17
Leggings Pack,Women's Wear,8,77,69,220,349,2025-02-17
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-17
Casual Shirt,Men's Wear,8,165,157,500,799,2025-02-17
Formal Trousers,Men's Wear,0,55,55,900,1049,2025-02-17
Graphic T-Shirt,Men's Wear,7,93,86,300,499,2025-02-17
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-17
School Shorts,Kids Wear,0,0,0,180,299,2025-02-17
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-17
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-17
Casual Sandals,Footwear,0,0,0,500,699,2025-02-17
Leather Belt,Accessories,0,48,48,250,289,2025-02-17
Fashion Scarf,Accessories,0,33,33,180,299,2025-02-17
Baseball Cap,Accessories,0,0,0,160,229,2025-02-17
Silver Anklet,Accessories,0,24,24,350,549,2025-02-17
Floral Kurti,Women's Wear,8,123,115,350,599,2025-02-18
Leggings Pack,Women's Wear,14,69,55,220,349,2025-02-18
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-18
Casual Shirt,Men's Wear,5,157,152,500,799,2025-02-18
Formal Trousers,Men's Wear,2,55,53,900,1049,2025-02-18
Graphic T-Shirt,Men's Wear,4,86,82,300,499,2025-02-18
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-18
School Shorts,Kids Wear,0,0,0,180,299,2025-02-18
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-18
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-18
Casual Sandals,Footwear,0,0,0,500,699,2025-02-18
Leather Belt,Accessories,0,48,48,250,289,2025-02-18
Fashion Scarf,Accessories,0,33,33,180,299,2025-02-18
Baseball Cap,Accessories,0,0,0,160,229,2025-02-18
Silver Anklet,Accessories,0,24,24,350,549,2025-02-18
Floral Kurti,Women's Wear,15,115,100,350,599,2025-02-19
Leggings Pack,Women's Wear,13,55,42,220,349,2025-02-19
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-19
Casual Shirt,Men's Wear,3,152,149,500,799,2025-02-19
Formal Trousers,Men's Wear,0,53,53,900,1049,2025-02-19
Graphic T-Shirt,Men's Wear,8,82,74,300,499,2025-02-19
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-19
School Shorts,Kids Wear,0,0,0,180,299,2025-02-19
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-19
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-19
Casual Sandals,Footwear,0,0,0,500,699,2025-02-19
Leather Belt,Accessories,0,48,48,250,289,2025-02-19
Fashion Scarf,Accessories,2,33,31,180,299,2025-02-19
Baseball Cap,Accessories,0,0,0,160,229,2025-02-19
Silver Anklet,Accessories,0,24,24,350,549,2025-02-19
Floral Kurti,Women's Wear,13,100,87,350,599,2025-02-20
Leggings Pack,Women's Wear,8,42,171,220,349,2025-02-20
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-20
Casual Shirt,Men's Wear,6,149,143,500,799,2025-02-20
Formal Trousers,Men's Wear,0,53,53,900,1049,2025-02-20
Graphic T-Shirt,Men's Wear,7,74,67,300,499,2025-02-20
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-20
School Shorts,Kids Wear,0,0,0,180,299,2025-02-20
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-20
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-20
Casual Sandals,Footwear,0,0,0,500,699,2025-02-20
Leather Belt,Accessories,0,48,48,250,289,2025-02-20
Fashion Scarf,Accessories,2,31,29,180,299,2025-02-20
Baseball Cap,Accessories,0,0,0,160,229,2025-02-20
Silver Anklet,Accessories,0,24,24,350,549,2025-02-20
Floral Kurti,Women's Wear,14,87,73,350,599,2025-02-21
Leggings Pack,Women's Wear,19,171,152,220,349,2025-02-21
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-21
Casual Shirt,Men's Wear,6,143,137,500,799,2025-02-21
Formal Trousers,Men's Wear,0,53,53,900,1049,2025-02-21
Graphic T-Shirt,Men's Wear,6,67,61,300,499,2025-02-21
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-21
School Shorts,Kids Wear,0,0,0,180,299,2025-02-21
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-21
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-21
Casual Sandals,Footwear,0,0,0,500,699,2025-02-21
Leather Belt,Accessories,0,48,48,250,289,2025-02-21
Fashion Scarf,Accessories,0,29,29,180,299,2025-02-21
Baseball Cap,Accessories,0,0,0,160,229,2025-02-21
Silver Anklet,Accessories,0,24,24,350,549,2025-02-21
Floral Kurti,Women's Wear,12,73,61,350,599,2025-02-22
Leggings Pack,Women's Wear,10,152,142,220,349,2025-02-22
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-22
Casual Shirt,Men's Wear,10,137,127,500,799,2025-02-22
Formal Trousers,Men's Wear,0,53,53,900,1049,2025-02-22
Graphic T-Shirt,Men's Wear,10,61,51,300,499,2025-02-22
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-22
School Shorts,Kids Wear,0,0,0,180,299,2025-02-22
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-22
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-22
Casual Sandals,Footwear,0,0,0,500,699,2025-02-22
Leather Belt,Accessories,2,48,46,250,289,2025-02-22
Fashion Scarf,Accessories,0,29,29,180,299,2025-02-22
Baseball Cap,Accessories,0,0,0,160,229,2025-02-22
Silver Anklet,Accessories,0,24,24,350,549,2025-02-22
Floral Kurti,Women's Wear,9,61,52,350,599,2025-02-23
Leggings Pack,Women's Wear,8,142,134,220,349,2025-02-23
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-23
Casual Shirt,Men's Wear,7,127,120,500,799,2025-02-23
Formal Trousers,Men's Wear,1,53,52,900,1049,2025-02-23
Graphic T-Shirt,Men's Wear,6,51,45,300,499,2025-02-23
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-23
School Shorts,Kids Wear,0,0,0,180,299,2025-02-23
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-23
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-23
Casual Sandals,Footwear,0,0,0,500,699,2025-02-23
Leather Belt,Accessories,0,46,46,250,289,2025-02-23
Fashion Scarf,Accessories,1,29,28,180,299,2025-02-23
Baseball Cap,Accessories,0,0,0,160,229,2025-02-23
Silver Anklet,Accessories,0,24,24,350,549,2025-02-23
Floral Kurti,Women's Wear,13,52,39,350,599,2025-02-24
Leggings Pack,Women's Wear,12,134,122,220,349,2025-02-24
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-24
Casual Shirt,Men's Wear,7,120,113,500,799,2025-02-24
Formal Trousers,Men's Wear,0,52,52,900,1049,2025-02-24
Graphic T-Shirt,Men's Wear,5,45,40,300,499,2025-02-24
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-24
School Shorts,Kids Wear,0,0,0,180,299,2025-02-24
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-24
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-24
Casual Sandals,Footwear,0,0,0,500,699,2025-02-24
Leather Belt,Accessories,0,46,46,250,289,2025-02-24
Fashion Scarf,Accessories,1,28,27,180,299,2025-02-24
Baseball Cap,Accessories,0,0,0,160,229,2025-02-24
Silver Anklet,Accessories,2,24,22,350,549,2025-02-24
Floral Kurti,Women's Wear,11,39,168,350,599,2025-02-25
Leggings Pack,Women's Wear,10,122,112,220,349,2025-02-25
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-25
Casual Shirt,Men's Wear,5,113,108,500,799,2025-02-25
Formal Trousers,Men's Wear,0,52,52,900,1049,2025-02-25
Graphic T-Shirt,Men's Wear,8,40,171,300,499,2025-02-25
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-25
School Shorts,Kids Wear,0,0,0,180,299,2025-02-25
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-25
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-25
Casual Sandals,Footwear,0,0,0,500,699,2025-02-25
Leather Belt,Accessories,0,46,46,250,289,2025-02-25
Fashion Scarf,Accessories,1,27,26,180,299,2025-02-25
Baseball Cap,Accessories,0,0,0,160,229,2025-02-25
Silver Anklet,Accessories,0,22,22,350,549,2025-02-25
Floral Kurti,Women's Wear,12,168,156,350,599,2025-02-26
Leggings Pack,Women's Wear,9,112,103,220,349,2025-02-26
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-26
Casual Shirt,Men's Wear,6,108,102,500,799,2025-02-26
Formal Trousers,Men's Wear,0,52,52,900,1049,2025-02-26
Graphic T-Shirt,Men's Wear,5,171,166,300,499,2025-02-26
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-26
School Shorts,Kids Wear,0,0,0,180,299,2025-02-26
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-26
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-26
Casual Sandals,Footwear,0,0,0,500,699,2025-02-26
Leather Belt,Accessories,0,46,46,250,289,2025-02-26
Fashion Scarf,Accessories,0,26,26,180,299,2025-02-26
Baseball Cap,Accessories,0,0,0,160,229,2025-02-26
Silver Anklet,Accessories,2,22,20,350,549,2025-02-26
Floral Kurti,Women's Wear,13,156,143,350,599,2025-02-27
Leggings Pack,Women's Wear,14,103,89,220,349,2025-02-27
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-27
Casual Shirt,Men's Wear,8,102,94,500,799,2025-02-27
Formal Trousers,Men's Wear,2,52,50,900,1049,2025-02-27
Graphic T-Shirt,Men's Wear,6,166,160,300,499,2025-02-27
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-27
School Shorts,Kids Wear,0,0,0,180,299,2025-02-27
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-27
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-27
Casual Sandals,Footwear,0,0,0,500,699,2025-02-27
Leather Belt,Accessories,1,46,45,250,289,2025-02-27
Fashion Scarf,Accessories,0,26,26,180,299,2025-02-27
Baseball Cap,Accessories,0,0,0,160,229,2025-02-27
Silver Anklet,Accessories,0,20,20,350,549,2025-02-27
Floral Kurti,Women's Wear,14,143,129,350,599,2025-02-28
Leggings Pack,Women's Wear,15,89,74,220,349,2025-02-28
Cotton Saree,Women's Wear,0,0,0,700,999,2025-02-28
Casual Shirt,Men's Wear,9,94,85,500,799,2025-02-28
Formal Trousers,Men's Wear,0,50,50,900,1049,2025-02-28
Graphic T-Shirt,Men's Wear,9,160,151,300,499,2025-02-28
Kids Frock,Kids Wear,0,0,0,280,449,2025-02-28
School Shorts,Kids Wear,0,0,0,180,299,2025-02-28
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-02-28
Running Shoes,Footwear,0,0,0,1200,1599,2025-02-28
Casual Sandals,Footwear,0,0,0,500,699,2025-02-28
Leather Belt,Accessories,0,45,45,250,289,2025-02-28
Fashion Scarf,Accessories,0,26,26,180,299,2025-02-28
Baseball Cap,Accessories,0,0,0,160,229,2025-02-28
Silver Anklet,Accessories,0,20,20,350,549,2025-02-28
Floral Kurti,Women's Wear,15,129,114,350,599,2025-03-01
